event_external_id,title,location ,location_external_id,start_date,end_date,event_type,description,banner_image,design_template_external_id
EVT-NO02-B38,Thai Language & Culture Workshop,Thai Community Oslo,NO02-B38,2026-02-08,2026-02-08,Community Event,Introductory Thai language and culture workshop,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-NO.png,
EVT-DE09-B39,Thai Street Food Pop-up,Street Food Market Berlin,DE09-B39,2026-03-14,2026-03-14,Market/Food Festival,Thai street food pop-up by local vendors,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-DE.png,
EVT-UK06-B40,Visakha Bucha Day Ceremony,Wat Buddhapadipa,UK06-B40,2026-05-03,2026-05-03,Religious Ceremony,Major Buddhist holy day celebration,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-UK.png,
EVT-SE13-B41,Visakha Bucha Day Ceremony,Wat Buddharama,SE13-B41,2026-05-03,2026-05-03,Religious Ceremony,Visakha Bucha chanting and meditation,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
EVT-FR03-B42,Thai Film Night,Community Cinema Paris,FR03-B42,2026-02-22,2026-02-22,Community Event,Screening of classic Thai films with discussion,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-FR.png,
EVT-DE10-B43,Thai Massage & Wellness Day,Thai Wellness Center,DE10-B43,2026-03-28,2026-03-28,Community Event,Traditional Thai massage and wellness introduction,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-DE.png,
EVT-CH02-B43,Thai Kids Cultural Day,Thai School Zurich,CH02-B43,2026-03-01,2026-03-01,Community Event,Cultural activities for Thai children abroad,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-CH.png,
EVT-FI01-B44,Buddhist Meditation Evening,Thai Buddhist Group Helsinki,FI01-B44,2026-02-12,2026-02-12,Religious Ceremony,Evening meditation and Dhamma talk,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/religion%20-FI.png,
EVT-NL01-B45,Thai Market Weekend,Thai Market Rotterdam,NL01-B45,2026-03-07,2026-03-08,Market/Food Festival,Weekend Thai grocery and food market,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-NL.png,
EVT-SE14-B46,Thai Women Community Meetup,Community Hall Stockholm,SE14-B46,2026-02-27,2026-02-27,Community Event,Meetup for Thai women living in Sweden,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
EVT-AT01-B47,Thai Art & Handicraft Fair,Art Center Vienna,AT01-B47,2026-03-18,2026-03-19,Community Event,Exhibition of Thai art and handicrafts,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-AT.png,
EVT-UK07-B48,Thai Buddhist Ordination Ceremony,Wat Buddhapadipa,UK07-B48,2026-01-31,2026-01-31,Religious Ceremony,Temporary monk ordination ceremony,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-UK.png,
EVT-SE15-B49,Thai Charity Food Event,Thai Community Malmo,SE15-B49,2026-03-25,2026-03-25,Market/Food Festival,Charity food event supporting local causes,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
EVT-ES01-B50,Thai Community Open Day,Thai Association Barcelona,ES01-B50,2026-02-15,2026-02-15,Community Event,Open house for Thai community and friends,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-ES.png,
EVT-CZ01-B51,Thai Cultural Performance Night,Community Theater Prague,CZ01-B51,2026-03-12,2026-03-12,Community Event,Evening of traditional Thai music and dance performances,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-CZ.png,
EVT-UK08-B52,Thai New Year Songkran Festival,Wat Buddhapadipa,UK08-B52,2026-04-13,2026-04-15,Market/Food Festival,Songkran festival with water blessing and cultural activities,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-UK.png,
EVT-SE16-B53,Thai New Year Songkran Festival,Wat Buddharama,SE16-B53,2026-04-13,2026-04-15,Market/Food Festival,Songkran celebration with traditional Thai activities,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
EVT-NL02-B54,Thai New Year Songkran Festival,Thai Community NL,NL02-B54,2026-04-13,2026-04-15,Market/Food Festival,Songkran festival with water blessing and cultural activities,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-NL.png,
EVT-FR04-B55,Thai New Year Songkran Festival,Parc de Choisy,FR04-B55,2026-04-13,2026-04-15,Market/Food Festival,Songkran festival hosted by Thai community in Paris,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-FR.png,
EVT-DE11-B56,Thai New Year Songkran Festival,Thai Cultural Center Berlin,DE11-B56,2026-04-13,2026-04-15,Market/Food Festival,Traditional Thai New Year celebration with water blessing and food stalls,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-DE.png,
